Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.000000,1.465640,1.427952,1.440515,0.632193,65671
1962-01-03,0.000000,1.444702,1.427952,1.436327,0.630355,77611
1962-01-04,0.000000,1.438421,1.411202,1.423765,0.624843,59701
1962-01-05,0.000000,1.432140,1.394452,1.415390,0.621167,107462
1962-01-08,0.000000,1.432140,1.390264,1.390264,0.610140,89551
1962-01-09,0.000000,1.402827,1.356764,1.356764,0.595438,83581
1962-01-10,0.000000,1.386077,1.373514,1.386077,0.608303,29850
1962-01-11,0.000000,1.386077,1.373514,1.377702,0.604627,47761
1962-01-12,0.000000,1.407015,1.377702,1.407015,0.617491,89551
1962-01-15,0.000000,1.461453,1.407015,1.461453,0.641382,179103
1962-01-16,0.000000,1.457265,1.448890,1.457265,0.639545,95521
1962-01-17,0.000000,1.453078,1.402827,1.411202,0.619329,149252
1962-01-18,0.000000,1.415390,1.390264,1.415390,0.621167,47761
1962-01-19,0.000000,1.419577,1.394452,1.398639,0.613815,35821
1962-01-22,0.000000,1.427952,1.394452,1.419577,0.623004,137312
1962-01-23,0.000000,1.419577,1.394452,1.398639,0.613815,53731
1962-01-24,0.000000,1.402827,1.373514,1.402827,0.615654,125372
1962-01-25,0.000000,1.402827,1.365139,1.365139,0.599113,107462
1962-01-26,0.000000,1.369327,1.352577,1.352577,0.593600,107462
1962-01-29,0.000000,1.356764,1.323264,1.323264,0.580736,35821
1962-01-30,0.000000,1.329545,1.316982,1.323264,0.580736,59701
1962-01-31,0.000000,1.340014,1.329545,1.331639,0.584412,71641
1962-02-01,0.000000,1.335826,1.335826,1.335826,0.586249,17910
1962-02-02,0.000000,1.348389,1.340014,1.348389,0.591763,17910
1962-02-05,0.000000,1.407015,1.344201,1.407015,0.617491,101491
1962-02-06,0.000000,1.407015,1.407015,1.407015,0.617491,41791
1962-02-07,0.000000,1.407015,1.402827,1.402827,0.615654,17910
1962-02-08,0.000000,1.402827,1.402827,1.402827,0.615654,23880
1962-02-09,0.000000,1.394452,1.348389,1.365139,0.599113,65671
1962-02-12,0.000000,1.365139,1.352577,1.365139,0.599113,17910
1962-02-13,0.000000,1.373514,1.365139,1.365139,0.599113,83581
1962-02-14,0.000000,1.394452,1.386077,1.394452,0.611978,59701
1962-02-15,0.000000,1.415390,1.394452,1.415390,0.621167,29850
1962-02-16,0.000000,1.440515,1.423765,1.434234,0.629437,155222
1962-02-19,0.000000,1.444702,1.432140,1.436327,0.630355,41791
1962-02-20,0.000000,1.440515,1.398639,1.398639,0.613815,41791
1962-02-21,0.000000,1.423765,1.411202,1.415390,0.621167,41791
1962-02-23,0.000000,1.394452,1.375608,1.375608,0.603708,53731
1962-02-26,0.000000,1.365139,1.360952,1.365139,0.599113,41791
1962-02-27,0.000000,1.365139,1.352577,1.358858,0.596357,17910
1962-02-28,0.000000,1.381889,1.360952,1.381889,0.606464,59701
1962-03-01,0.000000,1.390264,1.373514,1.381889,0.606464,41791
1962-03-02,0.000000,1.394452,1.383983,1.394452,0.611978,47761
